nohup: ignoring input,,,,
Site,TX Name,IP Address,Serial Number,SW/FW/Bios
3035 Mt Major,TD1-TX Controller-R&amp;S THU9,http://10.13.21.52,111825,20.0.2
3035 Mt Major,TD1-TX Exciter A -R&amp;S THU9,http://10.13.21.54,101573,21.0.0
3035 Mt Major,TD1-TX Exciter B -R&amp;S THU9,http://10.13.21.57,101574,21.0.0
3035 Mt Major,TD6-TX Controller-R&amp;S THU9,http://10.13.21.61,111826,20.0.2
3035 Mt Major,TD6-TX Exciter A -R&amp;S THU9,http://10.13.21.62,101575,21.0.0
3035 Mt Major,TD6-TX Exciter B -R&amp;S THU9,http://10.13.21.63,101576,21.0.0
3038 Mt Tassie,TD1-TX-R&amp;S THU9 Exciter A,http://10.13.25.58,101554,21.0.0
3038 Mt Tassie,TD1-TX-R&amp;S THU9 Exciter B,http://10.13.25.59,101555,21.0.0
3038 Mt Tassie,TD1-TX-R&amp;S THU9 TX Controller,http://10.13.25.57,111706,20.0.2
3038 Mt Tassie,TD6-TX-R&amp;S THU9 Exciter A,http://10.13.25.68,101556,21.0.0
3038 Mt Tassie,TD6-TX-R&amp;S THU9 Exciter B,http://10.13.25.69,101557,21.0.0
3038 Mt Tassie,TD6-TX-R&amp;S THU9 TX Controller,http://10.13.25.67,111707,20.0.2
3057 Yatpool,TD6-TX Controller-R&amp;S THV9 ,http://10.13.50.40,104927,23.0.0
3057 Yatpool,TD6-TX Exciter A-R&amp;S THV9,http://10.13.50.60,timed out while connecting to remote host,timed out while connecting to remote host
3057 Yatpool,TD6-TX Exciter B-R&amp;S THV9,http://10.13.50.61,timed out while connecting to remote host,timed out while connecting to remote host
3097 Mt Dandenong TXA,TD6-TX-R&amp;S THV9,http://10.13.26.67,103381,18.0.0
4091 Mt Bellenden-Ker,TD6-TX-R&amp;S THV9,http://10.11.22.61,104418,20.0.2
4091 Mt Bellenden-Ker,TD1-TX Controller- R&amp;S THV9,http://10.11.22.57,114251,23.0.0
4091 Mt Bellenden-Ker,TD1-Exciter A-R&amp;S THV9,http://10.11.22.58,114249,23.0.0
4091 Mt Bellenden-Ker,TD1-Exciter B-R&amp;S THV9,http://10.11.22.59,114250,23.0.0
4091 Mt Bellenden-Ker,TD6-TX Controller- R&amp;S THV9,http://10.11.22.61,104418,20.0.2
4091 Mt Bellenden-Ker,TD6-Exciter A-R&amp;S THV9,http://10.11.22.62,104416,20.0.2
4091 Mt Bellenden-Ker,TD6-Exciter B-R&amp;S THV9,http://10.11.22.63,104417,20.0.2
4093 Mt Blackwood,TD6-TX Controller- R&amp;S THU9,http://10.11.23.68,113966,23.0.0
